,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
10,उन्हें नायक कहना बंद करें और उनकी मदद करें। अमेरिकी शिक्षकों को मरना नहीं चाहिए। #TeacherSafetyIsEssential,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286258880608194561
11,@ChrisMurphyCT @ChrisMurphyCT क्या आप कृपया @GovNedLamont के साथ इस बिंदु को स्पष्ट कर सकते हैं? हम इस तरह स्कूल दोबारा नहीं खोल सकते।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284208959713431554
12,"2020: जिस वर्ष राष्ट्रपति ने हमसे बच्चों और शिक्षकों का बलिदान करने का आग्रह किया ताकि वह उम्मीद से शेयर बाजार को कुछ बिंदुओं पर आगे बढ़ा सकें, जिससे वह नौकरी से नफरत करने की संभावना को थोड़ा बढ़ा सकें।

#स्कूल फिर से खुल रहा है #स्कूल फिर से खुल रहा है",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282806114787176458
13,"@ResisterDude @GovLarryHogan बॉय आप ""स्पॉट ऑन"" हैं !! DeSantis का सिर अभी तक ट्रम्प के $$ तक है, वह स्कूलों को खोलने के लिए मजबूर करने की वास्तविकता को नहीं देख सकता है: भ्रमित :: रोष :: face_with_hand_over_mouth::see_no_evil:
#RonDeathSantis
#RonDeSantisResign",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283743727404617728
14,"@donwinslow @PressSec हम सभी चाहते हैं कि स्कूल खुलें, लेकिन हम चाहते हैं कि यह तब हो जब यह सुरक्षित हो। यह अब सुरक्षित नहीं है।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283874601986953216
15,"भाई मुझे बच्चों को कोरोना वायरस होने की परवाह नहीं है, मुझे डर है कि वे इसे किसके लिए फैलाने जा रहे हैं।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237479761288540161
16,स्कूलों से बहुत सारे मामले आ रहे हैं और बहुत से अन्य लोग संक्रमित हो रहे हैं क्या वे चाहते हैं कि हम मर जाएं स्कूल बंद हो जाए अब स्कूल बंद हो जाए या हम सब मरने वाले हैं :sob::sob::sob::sob::sob :: सोब :: सोब :: सोब :: सोब :: सोब:,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283316605804478464
17,"इसलिए यूरोपीय संघ गैर-आवश्यक यात्रा पर प्रतिबंध लगाता है, बार, रेस्तरां, स्कूल और उनमें से आधे को बंद कर देता है। यूके बस अपने व्यवसाय के बारे में अपरिहार्य की प्रतीक्षा कर रहा है। हम गंदगी में समाप्त हो जाएंगे।
#covidー19uk
#coronapocolypse
#COVID-19",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1239574307098984449
18,मेरा स्कूल केवल लंच टेबल को शुद्ध पानी से धोता है; और कुछ नहीं। कोरोनावायरस पाने का तेज़ और कुशल तरीका।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237530503781089280
19,"@murrayparkderby कोरोनावायरस इस देश पर एक बड़ा प्रभाव डालने जा रहा है, मेरा मानना ​​है कि अगर हम अपने बच्चों की सुरक्षा चाहते हैं तो हमें अगली सूचना तक स्कूलों को अस्थायी रूप से बंद करने की आवश्यकता है। मेरे दो बच्चे शिकायत कर रहे हैं और मैं शांत नहीं बैठ सकता और कुछ नहीं कर सकता",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237513994035851265
20,"अगस्त में F2F के लिए खुलने वाला कोई भी जिला अपने शैक्षणिक मिशन के बयान का वर्णन करने के लिए कभी भी ""डेटा संचालित"" शब्द का उपयोग नहीं करता है, यदि वे हमें घर पर रहने के लिए कह रहे डेटा की भारी मात्रा को अनदेखा करना चुनते हैं। #स्कूल फिर से खुल रहा है #COVID19",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284238964447227905
21,"मुझे आश्चर्य है कि अगर @realDonaldTrump, @BetsyDeVosED और @IngrahamAngle स्कूलों के पूरी तरह से खुलने के खतरों के बारे में अपना विचार बदल देंगे, अगर वे स्कूलों के हॉल में चलने वाले और डेकेयर में गीत मंडलियों में बैठे थे # COVID19",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283355232710393870
22,"@realDonaldTrump @GavinNewsom
हम चाहते हैं कि इस शरद ऋतु में हमारे स्कूल खुलें। समाचार!
राजनीतिक खेल खेलना बंद करो, टमटम यूपी के डेमोक्रेट राजनेता हैं!
भ्रष्ट लोकतांत्रिक नेतृत्व।
यही कारण है कि लोग डेमोक्रेट पार्टी के छल-कपट के कारण डेमोक्रेटिक पार्टी से दूर जा रहे हैं!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1280962692333727745
23,"@DrEricDing अधिकांश राज्यों में जल्दी से फिर से खोलने के लिए मजबूर होने से पहले स्कूल को 2 सप्ताह से कम समय देने के लिए यह वास्तव में अनुचित है। परिवर्तनों की अतिरिक्त लागतों के साथ सहायता के लिए अभी तक धन प्राप्त नहीं हुआ है।
#स्कूल फिर से खुल रहा है",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283912630307115012
24,"इसलिए जबकि @GovMikeDeWine मांग करता है कि ओहायो के स्कूल भवन महामारी के बीच में अगले महीने फिर से खुलेंगे और मामले संख्या नियंत्रण से बाहर हो जाएगी, @senrobportman स्कूलों के लिए मजबूत दायित्व सुरक्षा के बारे में बात कर रहा है। क्या यह @OhioEA शिक्षकों के हड़ताल करने का समय नहीं है?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285205668358696960
25,"@ mdnij34 ऐसा मत करो। जीरो लीडरशिप, एक तेजी से फैल रहा वायरस। मुझे समझ नहीं आता कि कोई भी स्कूल अब सुरक्षित रूप से कैसे खुल सकता है जब तक कि कोई टीका नहीं है।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282494054475890689
26,"@DNCWarRoom @IMontoyaResists ऐसा कोई तरीका नहीं है जिससे मेरे 3 बच्चे पतझड़ में शारीरिक रूप से वापस स्कूल जा रहे हों। वे सभी चाहते हैं, लेकिन ट्रम्प ने जानबूझकर कोविद के प्रति हमारी प्रतिक्रिया को इतनी बुरी तरह से टाल दिया है कि स्कूलों को यथोचित रूप से अभी सुरक्षित नहीं बनाया जा सकता है।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287739317134090240
27,"मेरे शहर के 2 स्कूलों में COVID-19 (#coronavirusuk) के 3 मामले, दोनों में इटली के उत्तर से वापस आने वाले शिक्षक शामिल हैं और कुछ भी करने से पहले लगभग एक सप्ताह तक बच्चों के साथ संपर्क में रहे।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237478157755781121
28,"उनके लिए ""प्रो-लाइफ"" आप चाहते हैं कि मैं अपने बच्चों और खुद (शिक्षक) को ""सामान्य स्थिति"" के लिए बलिदान कर दूं। अजीब बात है कि कैसे डी पर मास्क को राजनीतिक बनाने का आरोप लगाया जाता है, जबकि ट्रम्प और इल्क ने 100k अमेरिकियों की बलि दी और अब बच्चों के लिए चुनाव जीतने / अर्थव्यवस्था बढ़ाने के लिए आ रहे हैं!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283851046570168324
29,"@nowthisnews ये लोग रात को कैसे सोते हैं? वे न सिर्फ हमारे बच्चों को खतरे में डाल रहे हैं, बल्कि बड़े पैमाने पर उन खतरों को नजरअंदाज करने का उनका दुस्साहस परे है... हम सभी चाहते हैं कि स्कूल फिर से खुलें, लेकिन महामारी के बीच में नहीं। पहले मामलों को नियंत्रित करें फिर स्कूलों के बारे में बात करें।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284615145054973965
30,"@BetsyDeVosED अगर आपको लगता है कि NBA और इसके बुलबुले में मौजूद सभी संसाधन कोविड को बाहर रखने में सक्षम नहीं हैं, तो आप पागल हैं, लेकिन बेहद कम फंड वाले स्कूल ऐसा करने में सक्षम होंगे।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283843417722818561
31,गुणवत्तापूर्ण शिक्षा का अधिकार एक मौलिक अधिकार है और स्कूल इसे बेहतरीन तरीके से ऑनलाइन कर रहे हैं,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287351546745765895
32,ट्रम्प चाहते हैं कि आप उनके पुन: चुनाव के लिए स्कूल खोलकर अपने ही बच्चे को चोट पहुँचाएँ।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284027946886365184
33,"@SnehalSolanki09 @PMOIndia @narendramodi @imBhupendrasinh @vijayrupanibjp सरकार स्कूल शिक्षकों के प्रति बहुत गैर जिम्मेदार है, हमें पिछले पांच महीनों से वेतन नहीं मिला है, ठीक है आप स्कूल नहीं खोल सकते हैं, वह भी आपके गैर-जिम्मेदार व्यवहार के कारण covid 19 लेकिन सरकार को भी समर्थन करना चाहिए स्कूलों और कोचिंगों के निजी ट्यूटर्स",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287317726432698369
34,"3) सद्तु के रूप में हम चाहते हैं कि स्कूल बंद हो जाएं क्योंकि बीमार छुट्टी के कारण अनुपस्थिति की उच्च संख्या को संबोधित करने के लिए स्थानापन्न शिक्षकों की नियुक्ति को शिक्षा विभाग द्वारा संबोधित नहीं किया गया है, जो मौजूदा स्टाफ सदस्यों पर दबाव डालता है",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283695653034569728
35,जब आपके राज्य में कोरोना वायरस है लेकिन आपके स्कूल का प्रशासन इसे बंद नहीं करेगा,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237488740458811392
36,@DiPasqualeDeb @denisewu @hsbanik @NikkiHaley @realDonaldTrump लेकिन किकर यह है कि उन्होंने COVID-19 आसमान छूने के कारण अपना सम्मेलन रद्द कर दिया लेकिन बच्चों को स्कूल भेजना ठीक है: सोच_फेस :: सोच_फेस :: सोच_फेस :: सोच_फेस:,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286745716904218629
37,"@donwinslow नो वैक्सीन - नो स्कूल, यही नीति हमेशा से रही है, सही ?? यह एक घातक महामारी है, रियलिटी शो नहीं !! मैंने अपने स्कूल डिस्ट्रिक्ट को पहले ही बता दिया है कि मेरे बच्चे कक्षा में वापस नहीं आएंगे !!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283819757410623491
38,@ B52Malmet हमारे स्कूल या तो केवल ऑनलाइन या 2 दिनों के लिए व्यक्तिगत रूप से ऑनलाइन पूरक की पेशकश कर रहे हैं। हमने केवल अपने एचएस जूनियर के लिए ऑनलाइन चुना। अभी अभी पता चला है कि Univ. हमारे कॉलेज के छात्रों की उपस्थिति केवल ऑनलाइन होगी।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286810740980985858
39,"@donwinslow @GovRonDeSantis इस महामारी के दौरान अपने बच्चों को स्कूल भेजने के लिए मजबूर होने पर न केवल हमें डरने के लिए कोविद -19 है, हमें ""करेन"" के बच्चों से भी डरना होगा जिन्हें मास्क पहनने की अनुमति नहीं है।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284731475531911172
40,"@PadmaLakshmi हमेशा लोकप्रिय ""हम यहां सबसे अलग हैं!"" कोई बात नहीं शर्लक, जिन देशों ने स्कूलों को फिर से खोल दिया है, वे इस वायरस के प्रति अपनी प्रतिक्रिया को पूरी तरह से ठीक नहीं कर पाए हैं। हम सभी को #TrumpTheTwitterTwerp #notmykid को बताना होगा",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283862462656282625
41,"दूरस्थ शिक्षा पूर्ण नहीं है, लेकिन एक समय में कम विषयों पर अधिक ध्यान देने से इसमें काफी सुधार हो सकता है।

बच्चे कोविड-19 से मर सकते हैं, जैसा कि शिक्षक, स्कूल के सभी कर्मचारी और परिवार के सदस्य कर सकते हैं।

कोविड-19 दीर्घकालिक नुकसान छोड़ता है जिसके बारे में हम अभी सीख रहे हैं।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283854883242733569
42,यह तो बेवकूफ है। स्कूल को बंद करने के लिए किसी को कोरोना वायरस से संक्रमित होने की जरूरत है :face_with_rolling_eyes:,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237512857274777601
43,"COVID-19 प्रतिक्रिया पर काम करने से मुझे जो पता चला है, उसे जानने के बाद, मैं अपने बच्चों को स्कूल नहीं भेजूंगा (यदि मेरे पास कोई है) ट्रम्प हमारी वर्तमान महामारी की स्थिति के तहत मांग कर रहे हैं।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283829219760340992
44,@BarackObama (मदद!) अगर #कोरोनावायरस 20 मिनट के दौरान एक व्यक्ति से दूसरे व्यक्ति में जा सकता है। कार की सवारी (एक अस्पताल में)। 7 घंटे में कितने बच्चे वायरस उठा सकते हैं। स्कूल का दिन? (10-20?) एक सप्ताह में कितने बच्चे और कर्मचारी बीमार होंगे? (200-500?) #कोविड19,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237322884667891712
45,@nbc10_brian @RIHEALTH @GovRaimondo अगर हम मूर्खतापूर्वक अगले महीने स्कूल फिर से खोल दें तो यह कैसा होगा।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285998965574467585
46,"ठीक है @ScottMorrisonMP @DanielAndrewsMP अब एक छात्र @CareyBaptist का परीक्षण +ve है, आप स्कूलों को बंद करने के लिए किसका इंतजार कर रहे हैं? #ScoMoAct #AUSPMACT #9News #coronavirus #COVID19Aus #ClosetheschoolsAustralia",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1239027026826166272
47,छात्रों का इंतजार क्यों! हाँ! कमबख्त छात्रों! स्कूलों को बंद करने से पहले कोरोना वायरस पाने के लिए! वायरस के और फैलने से पहले स्कूल बंद कर दें!,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237483765385003008
48,कौन एक टीम के लिए ले जाएगा और हमारे स्कूल में कोरोनावायरस लाएगा?,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237481832574320642
49,@itsJeffTiedrich उस तरह के राष्ट्रपति हैं जो चाहते हैं कि एक भयानक जानलेवा महामारी के दौरान स्कूल फिर से खुल जाएं।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284695091135737857
50,"@evanmcmurry जब हम वायरस को हरा देते हैं तो हम स्कूल खोल सकते हैं- वास्तव में आवश्यक बंद करें और 14 दिनों तक कोई नया मामला न रखें ... जितनी देर हम इसे बंद रखेंगे, आर्थिक पतन उतना ही बुरा होगा! हास्यास्पद!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283842061674790912
51,"क्या एनवाईसी में चीजें सुस्त हो सकती हैं? मेयर डी ब्लासियो का कहना है कि इस पतझड़ में स्कूलों के बंद होने पर 80,000 बच्चों तक बच्चों की देखभाल की जाएगी। यह कहां होगा आप पूछेंगे ??? विद्यालयों में। आप इस बकवास का सपना नहीं देख सकते LOL। :खुशी: :जीभ_बाहर_बंद_आँखें अटकी:
#एनवाईसी",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284287753807638530
52,"ट्रम्प कल्ट अपने बच्चों को स्कूल भेज सकते हैं क्योंकि स्पष्ट रूप से वे स्मार्ट नहीं हैं, लेकिन स्मार्ट अमेरिकी हमारे बच्चों को सुपर स्प्रेडर स्कूलों में नहीं भेज रहे हैं। जबकि वायरस नियंत्रण से बाहर है, राजनेताओं के लिए यह उम्मीद करना बिल्कुल हास्यास्पद है!!!",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283838052180393986
53,"#कोरोनावायरस से 2 महीने में 10,000 फ्लोरिडियन मर जाएंगे। सभी क्योंकि रॉन #DeathSantis और #GOPDeathCult सार्वजनिक स्थानों पर लोगों के 6 फीट के दायरे में आने पर मास्क नहीं पहनना चाहते थे। #DesantisFailedFlorida #TrumpFailedAmerica। अब वे मेरे बच्चे को मारना चाहते हैं?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283855223396675584
54,"शिक्षकों को अपने वर्तमान सामूहिक उत्तोलन का उपयोग करना चाहिए। वे स्पष्ट रूप से तर्क दे सकते हैं कि हमारी अर्थव्यवस्था काफी हद तक उन पर निर्भर है। कोई कारण नहीं है कि ट्रम्प और उनके जैसे लोग स्कूलों को खोलने के लिए मजबूर होंगे, जबकि #COVID19 उग्र है अगर यह सच नहीं होता। #COVID-19",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1282718320307863552
55,लवली मेरे स्कूल को परवाह नहीं है कि आधे स्कूल में कोरोना वायरस है जब तक हम सांस ले सकते हैं हम अभी भी स्कूल से दूर हैं: victory_hand_medium-light_skin_tone::clapping_hands_light_skin_tone:,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237527696529227776
56,केन्याई शिक्षा मंत्री ने हाल ही में घोषणा की कि केन्या में स्कूल 2021 तक बंद रहेंगे। और फिर भी SA में हमारे पास #angiemotshekga जैसे लोग हैं जो सोचते हैं कि SA स्कूली बच्चों को वायरस से पीड़ित होने से छूट दी गई है।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283307455167045639
57,ऑनलाइन शिक्षण भी एक सेवा है और शिक्षकों को भुगतान करने की आवश्यकता है। स्कूलों को जीवित रहने की जरूरत है। ऑनलाइन शिक्षण कंप्यूटर साक्षरता और प्रवीणता बढ़ाने में मदद करता है - स्कूल और जीवन के लिए आवश्यक कौशल। आपका आदेश प्रतिगामी है।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287343595154882561
58,"@apriestOEA तो स्टेट बोर्ड ने चिकन कर लिया। क्या यह राज्य पर मुकदमा करने का समय नहीं है? स्कूल नहीं खुलने चाहिए, अवधि! कृपया हमारी मदद करें। OEA हमारा अंतिम उपाय है। धन्यवाद।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286360212463652869
59,"मेरा भतीजा स्कूल से अपने भौतिक विज्ञान शिक्षक के एक कथित सकारात्मक मामले की खबर के साथ वापस आया, जिसने अपनी पत्नी को भी कोविड के कारण खो दिया था।

स्कूल हमेशा की तरह चल रहा है, सामान रख रहा है :zipper__mouth_face:

स्कूलों में लौटने पर शिक्षकों और छात्रों का परीक्षण क्यों नहीं किया गया?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283317416433459200
60,कृपया भगवान के लिए शिक्षकों के परिवारों के बारे में सोचें। थोड़ी देर के लिए सोचें कि शिक्षक ऑनलाइन कक्षाओं के लिए अपना सर्वश्रेष्ठ कैसे दे रहे हैं..स्कूल अपना सर्वश्रेष्ठ प्रदर्शन कर रहे हैं।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287324538620059650
61,@ thomaskaine5 पहले टीका। #notmykid,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283851955555700738
62,"लोग आपको चौंका देंगे। वे चाहते हैं कि स्कूल बंद हो जाएं, सत्ता आपके हाथ में है, अपने बच्चों को स्कूल न भेजें, ऐसा करने से पहले हम क्यों बताना चाहते हैं कि स्कूल बंद हैं। अगर हर कोई अपने बच्चों को स्कूल नहीं भेजेगा तो स्कूल नहीं बनेगा।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283313488312569857
63,अफसोस करने के बजाय सुरक्षित रहना बेहतर है। #ऑनलाइन क्लासेस एक सुरक्षित वातावरण में निरंतर सीखने की पेशकश करती हैं। स्कूलों को काम करने दें और शिक्षा प्रदान करें। ऐसे संवेदनहीन आदेशों से नष्ट करना आसान है।,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287347787978309632
64,@Morningireland पर यह वास्तव में एक अच्छा बिंदु है - यदि स्कूल बंद हो जाते हैं तो क्या बुजुर्ग दादा-दादी बच्चों के प्रति चिंता करना बंद कर देंगे और उनकी भेद्यता को बढ़ा देंगे? #COVID19 @Education_Ire #COVID19ireland #FlattenTheCurve,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237655639951839232
65,तो क्या पब्लिक स्कूल तब तक इंतजार करने वाले हैं जब तक छात्र कोरोना वायरस से संक्रमित नहीं होने लगते उन्हें बंद करने के लिए या...? :चेहरा_साथ_रोलिंग_आंखें: #CUNY,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237592087605862403
66,"जो कोई भी सोचता है कि प्रकोप वाले क्षेत्रों में स्कूलों को खोलना चाहिए, मैं आपको एक शिक्षक बनने के लिए आमंत्रित करता हूं और अपना पैसा वहां लगाता हूं जहां आपका मुंह है। अगले दो महीनों में काफी ओपनिंग होगी। आप प्रतिदिन केवल 40 से 300 लोगों के साथ कक्षा साझा कर रहे हैं।",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283982159779450880
67,क्या योजना डिजिटल इंडिया नहीं थी? तो अभी क्यों नहीं? आइए एक-दूसरे का समर्थन करें और इसके लिए काम करें। ऑनलाइन शिक्षण सीखने का एक अद्भुत नया अनुभव है। स्कूलों को संचालित करने की अनुमति दें #SaveOurSchools #RightToLearn @imBhupendrasinh @CMOGuj,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287343789791539200
68,मुझे संदेह है कि समुदायों को पता है कि उनके पास स्कूलों को बंद करने की शक्ति है।,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283391669778481153
